roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_predicted_positive
0.6934152967721141,0.17310965484274574,0.06941766293868107,0.06941766293868107,1.0,0.1298232960692391,0.01,180,0,2413,0,2593
0.6934152967721141,0.17310965484274574,0.07057462398765908,0.06916537867078826,0.9944444444444445,0.12933526011560695,0.02,179,4,2409,1,2588
0.6934152967721141,0.17310965484274574,0.07057462398765908,0.06883217324052592,0.9888888888888889,0.128705712219812,0.03,178,5,2408,2,2586
0.6934152967721141,0.17310965484274574,0.07867335133050521,0.06905969566913774,0.9833333333333333,0.12905577834487786,0.04,177,27,2386,3,2563
0.6934152967721141,0.17310965484274574,0.0802159660624759,0.06916764361078546,0.9833333333333333,0.12924424972617743,0.05,177,31,2382,3,2559
0.6934152967721141,0.17310965484274574,0.08137292711145391,0.06857366771159874,0.9722222222222222,0.1281112737920937,0.06,175,36,2377,5,2552
0.6934152967721141,0.17310965484274574,0.08175858079444659,0.06860054880439044,0.9722222222222222,0.12815818381545221,0.07,175,37,2376,5,2551
0.6934152967721141,0.17310965484274574,0.08214423447743927,0.06794972505891594,0.9611111111111111,0.1269258987527513,0.08,173,40,2373,7,2546
0.6934152967721141,0.17310965484274574,0.09062861550327805,0.06751389992057188,0.9444444444444444,0.12601927353595255,0.09,170,65,2348,10,2518
0.6934152967721141,0.17310965484274574,0.10026995757809487,0.0671491757137113,0.9277777777777778,0.12523434570678665,0.1,167,93,2320,13,2487
0.6934152967721141,0.17310965484274574,0.18164288468954878,0.07299912049252419,0.9222222222222223,0.13528932355338225,0.11,166,305,2108,14,2274
0.6934152967721141,0.17310965484274574,0.1831854994215195,0.07237422771403354,0.9111111111111111,0.13409648405560098,0.12,164,311,2102,16,2266
0.6934152967721141,0.17310965484274574,0.21288083301195526,0.0749200548195523,0.9111111111111111,0.13845504432249894,0.13,164,388,2025,16,2189
0.6934152967721141,0.17310965484274574,0.21596606247589664,0.07519486474094451,0.9111111111111111,0.13892418466751377,0.14,164,396,2017,16,2181
0.6934152967721141,0.17310965484274574,0.2587736212880833,0.07841239109390126,0.9,0.14425645592163847,0.15,162,509,1904,18,2066
0.6934152967721141,0.17310965484274574,0.26070188970304664,0.07778317938745746,0.8888888888888888,0.1430487259722843,0.16,160,516,1897,20,2057
0.6934152967721141,0.17310965484274574,0.2618588507520247,0.07789678675754626,0.8888888888888888,0.1432408236347359,0.17,160,519,1894,20,2054
0.6934152967721141,0.17310965484274574,0.26340146548399535,0.0772238514173998,0.8777777777777778,0.14195867026055706,0.18,158,525,1888,22,2046
0.6934152967721141,0.17310965484274574,0.31893559583494024,0.0821917808219178,0.8666666666666667,0.15014436958614052,0.19,156,671,1742,24,1898
0.6934152967721141,0.17310965484274574,0.32009255688391824,0.08143839238498149,0.8555555555555555,0.14872042491549975,0.2,154,676,1737,26,1891
0.6934152967721141,0.17310965484274574,0.37099884303895103,0.08660968660968661,0.8444444444444444,0.15710594315245477,0.21,152,810,1603,28,1755
0.6934152967721141,0.17310965484274574,0.38333976089471655,0.08773968622893666,0.8388888888888889,0.15886375591793792,0.22,151,843,1570,29,1721
0.6934152967721141,0.17310965484274574,0.39298110296953337,0.08903301886792453,0.8388888888888889,0.16098081023454158,0.23,151,868,1545,29,1696
0.6934152967721141,0.17310965484274574,0.3937524103355187,0.08913813459268005,0.8388888888888889,0.16115261472785486,0.24,151,870,1543,29,1694
0.6934152967721141,0.17310965484274574,0.4022367913613575,0.08982035928143713,0.8333333333333334,0.16216216216216217,0.25,150,893,1520,30,1670
0.6934152967721141,0.17310965484274574,0.43655996914770534,0.09384908053265695,0.8222222222222222,0.1684689812179852,0.26,148,984,1429,32,1577
0.6934152967721141,0.17310965484274574,0.4377169301966834,0.09247448979591837,0.8055555555555556,0.16590389016018306,0.27,145,990,1423,35,1568
0.6934152967721141,0.17310965484274574,0.4485152333204782,0.0915032679738562,0.7777777777777778,0.16374269005847952,0.28,140,1023,1390,40,1530
0.6934152967721141,0.17310965484274574,0.45082915541843427,0.09186351706036745,0.7777777777777778,0.1643192488262911,0.29,140,1029,1384,40,1524
0.6934152967721141,0.17310965484274574,0.4600848438102584,0.09224598930481283,0.7666666666666667,0.16467780429594273,0.3,138,1055,1358,42,1496
0.6934152967721141,0.17310965484274574,0.5672965676822214,0.11074380165289256,0.7444444444444445,0.19280575539568345,0.31,134,1337,1076,46,1210
0.6934152967721141,0.17310965484274574,0.6158889317392982,0.12152133580705009,0.7277777777777777,0.2082670906200318,0.32,131,1466,947,49,1078
0.6934152967721141,0.17310965484274574,0.6162745854222907,0.12163416898792943,0.7277777777777777,0.20843277645186953,0.33,131,1467,946,49,1077
0.6934152967721141,0.17310965484274574,0.6174315464712689,0.12197392923649907,0.7277777777777777,0.20893141945773525,0.34,131,1470,943,49,1074
0.6934152967721141,0.17310965484274574,0.6178172001542614,0.12138188608776844,0.7222222222222222,0.20783373301358912,0.35,130,1472,941,50,1071
0.6934152967721141,0.17310965484274574,0.6189741612032394,0.12101313320825516,0.7166666666666667,0.20706260032102727,0.36,129,1476,937,51,1066
0.6934152967721141,0.17310965484274574,0.6189741612032394,0.12030075187969924,0.7111111111111111,0.2057877813504823,0.37,128,1477,936,52,1064
0.6934152967721141,0.17310965484274574,0.6197454685692249,0.11981132075471698,0.7055555555555556,0.20483870967741935,0.38,127,1480,933,53,1060
0.6934152967721141,0.17310965484274574,0.6197454685692249,0.11837121212121213,0.6944444444444444,0.2022653721682848,0.39,125,1482,931,55,1056
0.6934152967721141,0.17310965484274574,0.6212880833011956,0.11736641221374046,0.6833333333333333,0.2003257328990228,0.4,123,1488,925,57,1048
0.6934152967721141,0.17310965484274574,0.6236020053991516,0.11657032755298652,0.6722222222222223,0.1986863711001642,0.41,121,1496,917,59,1038
0.6934152967721141,0.17310965484274574,0.6401851137678365,0.11931243680485339,0.6555555555555556,0.2018819503849444,0.42,118,1542,871,62,989
0.6934152967721141,0.17310965484274574,0.6413420748168145,0.11812627291242363,0.6444444444444445,0.19965576592082615,0.43,116,1547,866,64,982
0.6934152967721141,0.17310965484274574,0.6413420748168145,0.11734693877551021,0.6388888888888888,0.19827586206896552,0.44,115,1548,865,65,980
0.6934152967721141,0.17310965484274574,0.6440416505977632,0.11661506707946337,0.6277777777777778,0.19669277632724108,0.45,113,1557,856,67,969
0.6934152967721141,0.17310965484274574,0.6490551484766679,0.11578947368421053,0.6111111111111112,0.19469026548672566,0.46,110,1573,840,70,950
0.6934152967721141,0.17310965484274574,0.697261858850752,0.12883435582822086,0.5833333333333334,0.21105527638190955,0.47,105,1703,710,75,815
0.6934152967721141,0.17310965484274574,0.7562668723486309,0.15757575757575756,0.5777777777777777,0.24761904761904763,0.48,104,1857,556,76,660
0.6934152967721141,0.17310965484274574,0.7898187427689934,0.1781305114638448,0.5611111111111111,0.27041499330655955,0.49,101,1947,466,79,567
0.6934152967721141,0.17310965484274574,0.8006170458927883,0.18267419962335216,0.5388888888888889,0.27285513361462727,0.5,97,1979,434,83,531
0.6934152967721141,0.17310965484274574,0.8037022753567297,0.18304431599229287,0.5277777777777778,0.2718168812589413,0.51,95,1989,424,85,519
0.6934152967721141,0.17310965484274574,0.8040879290397224,0.1796875,0.5111111111111111,0.2658959537572254,0.52,92,1993,420,88,512
0.6934152967721141,0.17310965484274574,0.8029309679907443,0.17227722772277226,0.48333333333333334,0.25401459854014596,0.53,87,1995,418,93,505
0.6934152967721141,0.17310965484274574,0.8137292711145392,0.17558886509635974,0.45555555555555555,0.2534775888717156,0.54,82,2028,385,98,467
0.6934152967721141,0.17310965484274574,0.8145005784805245,0.17634408602150536,0.45555555555555555,0.25426356589147286,0.55,82,2030,383,98,465
0.6934152967721141,0.17310965484274574,0.8214423447743926,0.17471264367816092,0.4222222222222222,0.24715447154471545,0.56,76,2054,359,104,435
0.6934152967721141,0.17310965484274574,0.8222136521403779,0.1740139211136891,0.4166666666666667,0.24549918166939444,0.57,75,2057,356,105,431
0.6934152967721141,0.17310965484274574,0.8399537215580409,0.18997361477572558,0.4,0.25760286225402507,0.58,72,2106,307,108,379
0.6934152967721141,0.17310965484274574,0.8414963362900115,0.192,0.4,0.2594594594594595,0.59,72,2110,303,108,375
