roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_predicted_positive
0.812203573237556,0.22249459320817488,0.06941766293868107,0.06941766293868107,1.0,0.1298232960692391,0.01,180,0,2413,0,2593
0.812203573237556,0.22249459320817488,0.06941766293868107,0.06941766293868107,1.0,0.1298232960692391,0.02,180,0,2413,0,2593
0.812203573237556,0.22249459320817488,0.35634400308522945,0.09339158929546695,0.95,0.17006464445549477,0.03,171,753,1660,9,1831
0.812203573237556,0.22249459320817488,0.37524103355187044,0.09505061867266591,0.9388888888888889,0.17262512768130744,0.04,169,804,1609,11,1778
0.812203573237556,0.22249459320817488,0.5534130350944851,0.12557427258805512,0.9111111111111111,0.22072678331090176,0.05,164,1271,1142,16,1306
0.812203573237556,0.22249459320817488,0.6930196683378326,0.16079295154185022,0.8111111111111111,0.26838235294117646,0.06,146,1651,762,34,908
0.812203573237556,0.22249459320817488,0.7107597377554956,0.16627634660421545,0.7888888888888889,0.2746615087040619,0.07,142,1701,712,38,854
0.812203573237556,0.22249459320817488,0.721943694562283,0.17132442284325639,0.7833333333333333,0.2811565304087737,0.08,141,1731,682,39,823
0.812203573237556,0.22249459320817488,0.7358272271500192,0.17503217503217502,0.7555555555555555,0.28422152560083597,0.09,136,1772,641,44,777
0.812203573237556,0.22249459320817488,0.8025453143077517,0.2214765100671141,0.7333333333333333,0.3402061855670103,0.1,132,1949,464,48,596
0.812203573237556,0.22249459320817488,0.803316621673737,0.21843003412969283,0.7111111111111111,0.3342036553524804,0.11,128,1955,458,52,586
0.812203573237556,0.22249459320817488,0.8060161974546857,0.22010398613518198,0.7055555555555556,0.33553500660501984,0.12,127,1963,450,53,577
0.812203573237556,0.22249459320817488,0.8083301195526418,0.2224168126094571,0.7055555555555556,0.3382157123834887,0.13,127,1969,444,53,571
0.812203573237556,0.22249459320817488,0.8106440416505978,0.22281639928698752,0.6944444444444444,0.33738191632928477,0.14,125,1977,436,55,561
0.812203573237556,0.22249459320817488,0.8145005784805245,0.22586520947176686,0.6888888888888889,0.3401920438957476,0.15,124,1988,425,56,549
0.812203573237556,0.22249459320817488,0.829155418434246,0.23856858846918488,0.6666666666666666,0.3513909224011713,0.16,120,2030,383,60,503
0.812203573237556,0.22249459320817488,0.8306980331662167,0.24048096192384769,0.6666666666666666,0.35346097201767307,0.17,120,2034,379,60,499
0.812203573237556,0.22249459320817488,0.8310836868492094,0.23673469387755103,0.6444444444444445,0.34626865671641793,0.18,116,2039,374,64,490
0.812203573237556,0.22249459320817488,0.8330119552641728,0.23700623700623702,0.6333333333333333,0.34493192133131617,0.19,114,2046,367,66,481
0.812203573237556,0.22249459320817488,0.868106440416506,0.2857142857142857,0.6,0.3870967741935484,0.2,108,2143,270,72,378
0.812203573237556,0.22249459320817488,0.8688777477824913,0.2872340425531915,0.6,0.38848920863309355,0.21,108,2145,268,72,376
